"","X","id","source","year","company","capital","office","loc","lon","lat","yinc","locinc","role","simpname","lastname.x","firstname.x","middlename.x","edu","text","lastname.y","firstname.y","middlename.y","prof"
"17",4822,"amm4822","amm",1907,"Daisy Belie Mining Company.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Daisy Belie Mining Company.",NA,NA,NA,NA
"18",5086,"amm5086","amm",1907,"Olive Mining Company.",NA,NA,NA,NA,NA,NA,NA,"Supt","bash, w b","bash","w","b",NA,"W. B. Bash. Supt. Steam.","basadre","w","b","Supt"
"19",5216,"amm5216","amm",1907,"Sandy Hill Mining Company. Aurora.",NA,NA,"aurora ",-104.8319195,39.7294319,NA,NA,NA,NA,NA,NA,NA,NA,"Sandy Hill Mining Company. Aurora.",NA,NA,NA,NA
"20",5443,"amm5443","amm",1907,"Duquesne Mining Company. De Borgia.",NA,NA,NA,NA,NA,NA,NA,"Supt","preanall, j l","preanall","j","l",NA,"J. L. Preanall, Supt. Silver & Lead. 15 men.","pratt","j",NA,"Supt"
"21",5505,"amm5505","amm",1907,"Ida-Montana Mining Company. Butte.",NA,NA,"montana ",-110.3625658,46.8796822,NA,NA,NA,NA,NA,NA,NA,NA,"Ida-Montana Mining Company. Butte.",NA,NA,NA,NA
"22",5508,"amm5508","amm",1907,"James Willoughby, Supt. for Washoe Copper Co., Butte, Operators. Cop",NA,NA,NA,NA,NA,NA,NA,"Supt","willoughby, j","willoughby","james",NA,NA,"James Willoughby, Supt. for Washoe Copper Co., Butte, Operators. Cop","willoughby","james",NA,"Supt"
"23",5871,"amm5871","amm",1907,"Nevada Consolidated Mines. Olinghouse.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gold & Silver. Steam. 50 stamps. 50 men.",NA,NA,NA,NA
"24",6198,"amm6198","amm",1907,"Jura-Trias Copper Company. Senorito.",NA,NA,NA,NA,NA,NA,NA,"Supt","stubbs, g w","stubbs","george","w",NA,"George W. Stubbs, Supt. Steam. 15 ton Smelting Plant. 25 men.","stuartwor","george","w","Supt"
"25",6362,"amm6362","amm",1907,"Mineral Development Company. 99 John St., New York.",NA,NA,"new york ",-74.0059728,40.7127753,NA,NA,NA,NA,NA,NA,NA,NA,"Mineral Development Company. 99 John St., New York.",NA,NA,NA,NA
"26",6407,"amm6407","amm",1907,"Cullowhee Copper Company. Cullowhee.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cullowhee Copper Company. Cullowhee.",NA,NA,NA,NA
"27",6544,"amm6544","amm",1907,"Continental Gold Mining Company. Nugget.",NA,"GOO Chamber of","portland ",-122.6750261,45.5051064,NA,NA,"Mgr",NA,NA,NA,NA,NA,"Office, GOO Chamber of Commerce Bdg., Portland. Ore. W. B. Stewart. Gen.",NA,NA,NA,NA
"28",6550,"amm6550","amm",1907,"Copperopolis Copper Company. Comer.",NA,"McKay Bdg","portland ",-122.6750261,45.5051064,NA,NA,"Mgr","gibbs, w w","gibbs","w","w",NA,"Office, 503 McKay Bdg., Portland. Ore. W. W. Gibbs, Mgr. Copper. Gold","gibbons","w",NA,"Mgr"
"29",6654,"amm6654","amm",1907,"Indiana Mining Company. Medical Springs.",NA,NA,"indiana ",-86.1349019,40.2671941,NA,NA,NA,NA,NA,NA,NA,NA,"Indiana Mining Company. Medical Springs.",NA,NA,NA,NA
"30",7789,"amm7789","amm",1907,"Interstate Exploration Company. Endicott Bdg, St. Paul, Minn.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEXICAN GENERAL",NA,NA,NA,NA
"31",7920,"amm7920","amm",1907,"King Richard Mining Company Limited. Ensenada.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stamps. 25 men.",NA,NA,NA,NA
"32",8325,"amm8325","amm",1907,"Viznaga Mining Company. Sabinal.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Viznaga Mining Company. Sabinal.",NA,NA,NA,NA
