"id","volume","year","month","day","page","ppdf","term","loc","org","type","author","method","notes1","notes2","patent","lon","lat","name","lastname","firstname","middlename","simpname","source"
4700,88,1909,10,2,688,728,"cyanid",NA,NA,"article","Ferdin","ctrlf","methods, experiments","new system for the cyanide treatments of slimes",NA,NA,NA,"Ferdin","ferdin","ferdin",NA,"ferdin, f",NA
4700,88,1909,10,2,688,728,"cyanid",NA,NA,"article","McCann","ctrlf","methods, experiments","new system for the cyanide treatments of slimes",NA,NA,NA,"McCann","mccann","mccann",NA,"mccann, m",NA
4701,88,1909,10,2,690,730,"cyanid",NA,NA,"article","Charles V. Allen","ctrlf","methods","electrial power at mexican Mines and Mills",NA,NA,NA,"Charles V Allen","allen","charles","v","allen, c v","MIT"
4803,89,1910,3,12,551,581,"cyanid",NA,NA,"news","Fred. W. Monahan","ctrlf","methods","device for sampling zinc-box solutions",NA,NA,NA,"Fred W Monahan","monahan","fred","w","monahan, f w",NA
4964,90,1910,10,1,680,708,"cyanid",NA,NA,"news","Edward H Croghan","ctrlf","experiments","experiments on the precipitation of gold from cyanide solution",NA,NA,NA,"Edward H Croghan","croghan","edward","h","croghan, e h",NA
4967,90,1910,10,1,680,708,"cyanid",NA,NA,"news","R. Stuart Browne","ctrlf","methods","designing of a sands leaching plant",NA,NA,NA,"R Stuart Browne","browne","r","stuart","browne, r s",NA
3845,57,1894,8,4,102,127,"Cyanide","transvaal south africa",NA,"article","W. R. Feldtmann","ctrlf","cyanide process in transvaal mines","Cyanide process now furnishing 80% of gold output in the district; also discusses how the cyanide is being used",NA,22.937506,-30.559482,"W R Feldtmann","feldtmann","w","r","feldtmann, w r","frei"
3857,59,1895,6,1,510,497,"Cyanid",NA,NA,"article","C. A Mulholland","ctrlf","Using cyanide (Different cyanide solution bromo-cyanide*)",NA,NA,NA,NA,"C A Mulholland","mulholland","c","a","mulholland, c a",NA
3868,60,1895,11,23,489,514,"Cyanid",NA,NA,"article","E. A. Schneider","ctrlf","Science of cyanide process, using cyanide process",NA,NA,NA,NA,"E A Schneider","schneider","e","a","schneider, e a",NA
4020,68,1899,10,28,513,544,"cyanid",NA,NA,"article","Geo Wm. Sargent","ctrlf","experiments,methods","determination of nickel in nickel-steel",NA,NA,NA,"Geo Wm Sargent","sargent","geo","wm","sargent, g w",NA
4025,68,1899,11,11,576,607,"cyanid",NA,NA,"article","Malvern W. Iles","ctrlf","experiments","Fume of Lead Furnances, part of it mentioned cyanide",NA,NA,NA,"Malvern W Iles","iles","malvern","w","iles, m w","cu"
4123,71,1901,2,23,247,270,"cyanid",NA,NA,"article","Rutherford N. J","ctrlf","experiments","concetration tests and results",NA,NA,NA,"Rutherford N J",NA,"rutherford","n","rutherford n j",NA
4191,73,1902,3,8,352,389,"cyanid",NA,NA,"article","Russel W. Moore","ctrlf","in use, prices","commercial cyanide of potassium",NA,NA,NA,"Russel W Moore","moore","russel","w","moore, r w","worcester"
4228,74,1902,9,13,345,376,"cyanid",NA,NA,"article","John Pharm Chim","ctrlf","methods","ferrocyanide methods",NA,NA,NA,"John Pharm Chim","chim","john","pharm","chim, j p",NA
4273,76,1903,8,15,239,274,"Cyanid",NA,NA,"article","Alfred H. Allen","ctrlf","Cyanide production","Impurities",NA,NA,NA,"Alfred H Allen","allen","alfred","h","allen, a h","worcester"
4281,76,1903,12,24,1003,968,"Cyanid",NA,"Simmer & Jack Proprietary Mines, Ltd.","article","James E. Thomas","ctrlf","Methods; cleaning",NA,NA,NA,NA,"James E Thomas","thomas","james","e","thomas, j e","myb"
4392,85,1908,2,29,446,479,"cyanid",NA,NA,"article","George A. Denny","ctrlf","prices","commercial aspect of rand profits",NA,NA,NA,"George A Denny","denny","george","a","denny, g a","taime"
4398,85,1908,3,7,536,569,"cyanid",NA,NA,"news","Leo D. Bishop","ctrlf","methods","The Hendryx Decanting Filter",NA,NA,NA,"Leo D Bishop","bishop","leo","d","bishop, l d","colorado"
4612,87,1909,3,27,670,712,"cyanid",NA,NA,"article","S. E Bretherton","ctrlf","methods, experiments","extraction of zinc from mixed ore",NA,NA,NA,"S E Bretherton","bretherton","s","e","bretherton, s e",NA
4638,87,1909,5,1,932,978,"cyanid",NA,NA,"news","John A. Sanchez","ctrlf","methods","separating and determining cobalt and nickel",NA,NA,NA,"John A Sanchez","sanchez","john","a","sanchez, j a",NA
4738,88,1909,12,4,1150,1192,"cyanid",NA,NA,"news","William Culllen","ctrlf","methods","recovery of zinc",NA,NA,NA,"William Culllen","culllen","william",NA,"culllen, w",NA
4794,89,1910,3,5,545,575,"cyanid",NA,NA,"news","Frank E. Connan","ctrlf","method","estimation for zinc in copper ores in terms of potassium ferrocyanide",NA,NA,NA,"Frank E Connan","connan","frank","e","connan, f e",NA
4923,90,1910,8,20,358,386,"cyanid",NA,"Santa Natalia Mill","article","Cooper Shapeley","ctrlf","methods, experiments","slime treatment here",NA,NA,NA,"Cooper Shapeley","shapeley","cooper",NA,"shapeley, c",NA
5010,90,1910,11,26,1047,1077,"cyanid",NA,NA,"article","George A. James","ctrlf","experiments","moisture as a source of error in assay reports",NA,NA,NA,"George A James","james","george","a","james, g a",NA
3850,57,1894,11,3,416,457,"Cyanid",NA,NA,"article","A. Von. Garnet","ctrlf","Using cyanide","Logistics/stats of cyanide usage (how to use/how much to use for cyanide)",NA,NA,NA,"A Von Garnet","garnet","a","von","garnet, a v",NA
3926,66,1898,8,20,215,292,"cyanid",NA,NA,"article","P. H Van Diest","ctrlf","methods","a long article with parts about cyanide methods",NA,NA,NA,"P H Van Diest","diest","p","h","diest, p h",NA
3963,66,1898,12,31,787,954,"cyanid",NA,NA,"article","William McNeil","ctrlf","methods, experiemtns","a VERY long article about filter-press treatment",NA,NA,NA,"William McNeil","mcneil","william",NA,"mcneil, w","stanford"
4080,69,1900,6,16,704,733,"cyanid",NA,NA,"article","Louis Janin Jr","ctrlf","methods","abstract of a long article about process in cyanide",NA,NA,NA,"Louis Janin Jr","janin","louis","janin","janin, l j",NA
4112,70,1900,12,29,758,787,"cyanid",NA,NA,"article","R. G Vans Name","ctrlf","methods, experiments","sulphorcyanides",NA,NA,NA,"R G Vans Name","name","r","g","name, r g",NA
4202,73,1902,5,17,699,738,"cyanid",NA,NA,"letter","T. J, Johnston","ctrlf","patents, methods","general talk on patents",NA,NA,NA,"T J, Johnston","johnston","t",NA,"johnston, t","myb"
4207,73,1902,5,24,731,770,"cyanid",NA,NA,"letter","Oscar J. Frost","ctrlf","methods,experiments","combination methods",NA,NA,NA,"Oscar J Frost","frost","oscar","j","frost, o j",NA
4288,77,1904,1,21,116,155,"Cyanid",NA,NA,"article","Richard Pearce","ctrlf","Tin","Cyanide use in ""vanning tin ores""",NA,NA,NA,"Richard Pearce","pearce","richard",NA,"pearce, r","rsm"
4469,86,1908,8,1,260,284,"cyanid",NA,NA,"news","A. B Parsons","ctrlf","prices","cyanidation costs",NA,NA,NA,"A B Parsons","parsons","a","b","parsons, a b",NA
4620,87,1909,4,3,733,779,"cyanid",NA,NA,"news","Allen J. Clark","ctrlf","methods","precipitation from cyanide solutions by zinc shavings and dust",NA,NA,NA,"Allen J Clark","clark","allen","j","clark, a j","cu"
4661,88,1909,7,24,168,196,"cyanid",NA,NA,"article","Hiram W. Hixon","ctrlf","methods","cyanide in cooper",NA,NA,NA,"Hiram W Hixon","hixon","hiram","w","hixon, h w",NA
4682,88,1909,9,4,492,520,"cyanid",NA,NA,"news","Theo P. Holt","ctrlf","methods","precipitation of silver ores",NA,NA,NA,"Theo P Holt","holt","theo","p","holt, t p","taime"
4753,89,1910,1,1,49,79,"cyanid",NA,NA,"news","John. R. Parks","ctrlf","methods","Electro-cyanide process",NA,NA,NA,"John R Parks","parks","john","r","parks, j r","cu"
4757,89,1910,1,8,150,180,"cyanid",NA,NA,"news","Alfed M. Smith","ctrlf","methods","amalgamation in cyanide solution",NA,NA,NA,"Alfed M Smith","smith","alfed","m","smith, a m","colorado"
4776,89,1910,1,29,306,336,"cyanid",NA,NA,"article","C. A Heberlein","ctrlf","methods, experiments","determination of small quantities of copper in slag",NA,NA,NA,"C A Heberlein","heberlein","c","a","heberlein, c a",NA
4789,89,1910,2,19,405,435,"cyanid",NA,NA,"news","Robert De Luce","ctrlf","experiments","liquid assay of gold",NA,NA,NA,"Robert De Luce","luce","robert","de","luce, r d","amm"
4795,89,1910,3,5,545,575,"cyanid",NA,NA,"news","W D'Arey Lloyd","ctrlf","method","Rotary Extractor for precious metals from solutions",NA,NA,NA,"W D'Arey Lloyd","lloyd","w",NA,"lloyd, w","amm"
4815,89,1910,3,26,647,677,"cyanid",NA,NA,"article","S. A Worcester","ctrlf","prices","Labor wasting and labor saving",NA,NA,NA,"S A Worcester","worcester","s","a","worcester, s a","amm"
4840,89,1910,4,30,927,957,"cyanid",NA,NA,"article","Henry M. Payne","ctrlf","methods, experiments","utilization of by product cases from coke ovens",NA,NA,NA,"Henry M Payne","payne","henry","m","payne, h m","colorado"
4882,89,1910,6,25,1327,1357,"cyanid",NA,NA,"article","Bruno Mierisch","ctrlf","experiments","proposed simplification of the cyanide process",NA,NA,NA,"Bruno Mierisch","mierisch","bruno",NA,"mierisch, b",NA
3862,59,1895,6,29,604,591,"Cyanid",NA,NA,"article","A. W. Warwick","ctrlf","Using cyanide (rate of solution of gold in cyanide solutions)",NA,NA,NA,NA,"A W Warwick","warwick","a","w","warwick, a w","taime"
