"","loc","lon","lat"
"225","assistant engineer under p w stuart menteath esq assoc",-80.2528257,27.197548
"227","bloomsbury place loni on vvc",-117.2611356,34.4737999
"228","prince s gate lonn n sw",-0.1714409,51.5017907
"231","royal col et e or sc ence london sw",-81.1637245,33.836081
"236","middlesbrough",-83.7142848,36.6072567
"237","guisborough yorkshire",-1.049544,54.536241
"238","cannon street london",-0.091962,51.5119949
"239","holywell lodce oxrord",-1.2524304,51.7550889
"240","sometime on the geological survey of india",NA,NA
"241","brewer",-95.9335764,36.7992892
"242","si ielsley kew gardens surrey",-0.295573,51.4787438
"245","rusrin road crewe",-2.4466072,53.090734
"246","ti ie residencrs souti i kensinoton museum london sw",-0.1745235,51.4978095
"247","grove villa carshalton grove sutton surrey",-0.1791725,51.3647298
"249","assay offices and coleman street london ec",-0.0897947,51.5160612
"251","c o messrs brown si iipley and co founder s court loth",NA,NA
"252","bury london ec",-0.0796968,51.5143663
"253","sometime manager to silver mining co sierra nevada",NA,NA
"254","gladstone rdad london",-0.2020264,51.4175233
"256","wallaroo smelting works wallaroo squth australia",137.6333342,-33.9310843
"257","waterlo crescent nottingham",-1.1669373,52.9606003
"258","ohannesburo sar",NA,NA
"259","h m patent office southampton buildings chancery lane",-0.1128084,51.517028
"260","windsor street",-71.0948836,42.3684946
"261","wolverton buckinchamshire",-0.816221,52.062458
"266","broar street avenue lonr on ec",-0.0834757,51.5172845
"267","chemical manufacturer",-94.6739333,37.1180016
"268","c o buffelsdoorn gou mining co ltd johannesburg sar",28.0473051,-26.2041028
"269","royal coiieoi or science london sw",-0.1766254,51.498814
"271","sometime manager of silk dye works",NA,NA
"272","commission liverpool went to america",NA,NA
"274","municipal technical co le e birmingham",-86.8103567,33.5185892
"275","cloister ramp gibraltar",-5.3544811,36.141505
"276","society died may th aged thirty",NA,NA
"277","demonstrator in mechanics royal college of science london",-0.1748772,51.4987997
"278","gamersal leeds",-1.682883,53.729406
"279","appointed secretary of the society of chemical industry",-95.712891,37.09024
"280","ermyngarth ashtead surrey",-0.296968,51.310684
"283","british museum natural history cromwell road london sw",-0.1763672,51.496715
"284","c o messrs d waldie and co konnac ar calcutta",88.363895,22.572646
"285","kensington park gardens",-0.2041808,51.5111104
"286","london sw",-0.1277583,51.5073509
"287","entered the leeds medical school",-1.5561998,53.8035495
"288","i whetley hill bradrord yorkshire",-1.7734688,53.8020156
"289","wyke lane bailiffe bridge near brighouse yorkshire",-1.7553449,53.7414087
"291","prize for mechanics whitworth exhibitioner",NA,NA
"292","i shrewsbury street trafford manchester",-2.2622879,53.4609319
"293","royal college or scnzncr lounou sw",14.258241,-3.3487754
"294","boli ii iall manor house tmuwonrn",-122.9093063,47.0073187
"296","tiie laboratory i i ti",NA,NA
"297","liveri ool",-115.4763241,32.6564981
"298","c o educat on department whitehall london sw and",-0.1265712,51.5049822
"299","seaford sussex",0.101108,50.7734669
"300","black park ruabon",-3.0405682,52.9546223
"301","svnmzv university new sout wa es",121.6283098,-27.6728168
"302","inverness terrace hyde park lonnow w",-0.186955,51.513196
"303","gondar mansions mill lane west hampstead lonoou nw",-0.2014209,51.5512708
"304","murchison medal",NA,NA
"305","minden road anerley london se",-0.0649882,51.4116027
"309","geological survey or canada ottawa",-75.7056182,45.4018939
"310","c o mr l gaibrois agent for ti ie darien gold mining co ltd",NA,NA
"312","norwood road herne",-0.1051136,51.4431235
"313","ledsham street wolverton and broken hill assay",-2.9649658,53.2634793
"314","office mark lane london ec",-0.0801384,51.5108688
"315","de muller walter joseph edward",NA,NA
"316","to the lomatic explorati n co south africa",NA,NA
"320","address c o messrs h s king and co pall mall",NA,NA
"321","marmora rqad houon oak london se and h m patent",-0.1277583,51.5073509
"322","jermyn street london sw",-0.1364788,51.5085039
"323","ferns aw roma w s r broivi i n london sw",-0.1277583,51.5073509
"325","posr office mathinna tasiv an a permanent address warham",147.7884863,-41.5270171
"326","road cr ynon",-3.7469176,51.729519
"327","o dil",NA,NA
