source,type,year,number,text,lastname,firstname,simpname,nationality,edu,prof,org,ydeg,loc,country,lat,lon
frei,alumni,1867,2529,"Laughlin, Alexander C. SudCarolina, V. St. v. A.",Laughlin,Alexander C,"Laughlin, A  C",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1867,2530,"Lenderoth, Wilhelm Arnold. Cassel, PreuBen.",Lenderoth,Wilhelm Arnold,"Lenderoth, W  A",germany,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1867,2531,"v. Leonhard, Georg Adolph Alexander. St. Petersburg, RuBland.",V Leonhard,Georg Adolph Alexander,"V Leonhard, G  A",russia,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1867,2532,"Limouse, Theophile Louis. StraBburg, Frankreich.",Limouse,Theophile Louis,"Limouse, T  L",france,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1867,2533,"Mansfeldt, Henri Adrien. Haag, Holland.",Mansfeldt,Henri Adrien,"Mansfeldt, H  A",netherlands,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1867,2534,"Norris, Frederic E. Ottawa, Illinois, V. St. v. A.",Norris,Frederic E,"Norris, F  E",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1867,2535,"Pitman, Edward Augustus. Exeter, England.",Pitman,Edward Augustus,"Pitman, E  A",united kingdom,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1867,2536,"Poetsch, Hermann. Neudorf, AnhaltDessau.",Poetsch,Hermann,"Poetsch, H",germany,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1867,2537,"Rader, Charles Innes. Easton , Pennsylvanien,",Rader,Charles Innes,"Rader, C  I",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1867,2538,"Rocco, Johann Baptist. Celerina, Schweiz.",Rocco,Johann Baptist,"Rocco, J  B",switzerland,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1867,2539,"van Schelle, Carel Jan. Rotterdam, Holland.",V Schelle,Carel Jan,"V Schelle, C  J",netherlands,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1867,2540,"Schwamkrug, Johannes. Freiberg, Sachsen.",Schwamkrug,Johannes,"Schwamkrug, J",germany,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1867,2541,"Dr. phi!. Seely, Henry. Vermont, V. St. v. A.",Seely,Henry,"Seely, H",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1867,2542,"Stoltz, Jan Henrik. Bergen, Norwegen.",Stoltz,Jan Henrik,"Stoltz, J  H",norway,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1867,2543,"Swinglehurst, Addison. Manchester, England.",Swinglehurst,Addison,"Swinglehurst, A",united kingdom,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1867,2544,"Wilmerding, Frederik B. New York, V. St. v. A.",Wilmerding,Frederik B,"Wilmerding, F  B",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1867,2545,"Winkler, Heinrich Martin. Freiberg, Sachsen.",Winkler,Heinrich Martin,"Winkler, H  M",germany,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1868,2546,"v. Arnim, Alexander Joseph Karl Bernhard. Planitz b. Zwickau, Sachsen.",V Arnim,Alexander Joseph Karl,"V Arnim, A  J",germany,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1868,2547,"Berndes y Prunevera, Pedro Herrmann. Bahia, Brasilien.",Berndes y Prunevera,,"Berndes y Prunevera,",brazil,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1868,2548,"Booth, Henry. Bradford, England.",Booth,Henry,"Booth, H",united kingdom,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1868,2549,"Browne, RoB Egerton. Washington, V. St. v. A.",Browne,RoB Egerton,"Browne, R  E",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1868,2550,"de Crano, Eduard Gerard. San Francisco, V. St. v.A.",De Crano,Eduard Gerard,"De Crano, E  G",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1868,2551,"Dr. phil. Crook, Frank. Baltimore, V. St. v. A.",Crook,Frank,"Crook, F",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1868,2552,"Delafield, Augustus Floyd. New York, V. St. v. A.",Delafield,Augustus Floyd,"Delafield, A  F",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1868,2553,"Einhorn, Alfred. Schwerin.",Einhorn,Alfred,"Einhorn, A",germany,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1868,2554,"Fitzpatrik, James. Detroit, Michigan.",Fitzpatrik,James,"Fitzpatrik, J",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1868,2555,"Foster, Ernest Le Neve. Grave Lane, England.",Foster,Ernest Le Neve,"Foster, E  L",united kingdom,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1868,2556,"Frauenlob, Carl Emil. Obernaundorf, Sachsen.",Frauenlob,Carl Emil,"Frauenlob, C  E",germany,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1868,2557,"Frazier, Mag. Benjam. W. Philadelphia, V.St. v.A.",Frazier,Mag,"Frazier, M",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1868,2558,"Frizzoni, Leonardo. Bergamo, Italien.",Frizzoni,Leonardo,"Frizzoni, L",italy,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1868,2559,"Gray, Georg Harrison. Boston, V. St. v. A.",Gray,Georg Harrison,"Gray, G  H",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1868,2560,"Hebberling, August. Buchloe, Bayern.",Hebberling,August,"Hebberling, A",germany,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1868,2561,"lselin, Heinrich. Basel, Schweiz.",lselin,Heinrich,"lselin, H",switzerland,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1868,2562,"Jernegan, Joseph Leonard. SouthBlude, Indiana,",Jernegan,Joseph Leonard,"Jernegan, J  L",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1868,2563,"Junge, Armin. Chemnitz, Sachs. Dipl.Ing. 1873.",Junge,Armin,"Junge, A",germany,Engineer,NA,freiberg school,1873,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1868,2564,"Kaufmann, Gustav Adolph. Freiberg, Sachsen.",Kaufmann,Gustav Adolph,"Kaufmann, G  A",germany,,merchant,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1868,2565,"Kennedy, Walter. New Orleans, V. St. v. A.",Kennedy,Walter,"Kennedy, W",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1868,2566,"Kleritj, Julio. Belgrad, Serbien.",Kleritj,Julio,"Kleritj, J",republic of serbia,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1868,2567,"v. Kondratieff, Anatol. Charkow, RuBiand.",V Kondratieff,Anatol,"V Kondratieff, A",ukraine,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1868,2568,"Lockwood, George P. New York, V. St. v. A.",Lockwood,George P,"Lockwood, G  P",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1868,2569,"Maschin, Svetozar. Belgrad, Serbien.",Maschin,Svetozar,"Maschin, S",republic of serbia,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1868,2570,"Otto, Moritz Bernhard. Elsterberg, Sachsen. Dipl.Ing. 1873.",Otto,Moritz Bernhard,"Otto, M  B",germany,Engineer,NA,freiberg school,1873,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1868,2571,"van Rensselaer, Schupler. New York, V.St.v.A.",V Rensselaer,Schupler,"V Rensselaer, S",united states of america,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1868,2572,"Sachse, Friedrich Paul Max. Freiberg, Sachsen.",Sachse,Friedrich Paul Max,"Sachse, F  P",germany,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
frei,alumni,1868,2573,"Schneider, Friedrich Robert. Conradsdorf, Sachs.",Schneider,Friedrich Robert,"Schneider, F  R",germany,,NA,freiberg school,,freiberg sachsen,germany,50.9128283,13.341727
