loc,lon,lat
brettell lane stourbridge,-2.1435763,52.4728792
brewster,-73.6170721,41.3973163
bridge road lambeth,-0.1144292,51.4998529
bridge road s,-76.31112,36.9927688
bridge street airdrie,-3.9818914,55.8678529
bridge street west middleeboro,-70.916732,41.870673
bridgeport,-73.1894384,41.1792258
bridle lane w,-75.6173616,39.9378314
brisbane,153.0251235,-27.4697707
bristol,-82.1887444,36.5951059
british columbia,-127.6476205,53.7266683
briunnia road morley yorks,-1.6032584,53.736541
broad street architect ltoo,-75.9261563,39.2608738
broad street avenue,-75.1695457,39.9253032
broad street avenue b,-75.9261563,39.2608738
broad street avenue london,-0.0834757,51.5172845
broad street b,-75.1703529,39.920416
broad street buildings,-74.0110566,40.7060521
broad street buildings k,-75.9261563,39.2608738
broad street builth,-3.4006922,52.1496772
broad street by the st,-75.9261563,39.2608738
broad street contractor share,-74.0111832,40.7065897
broad street flat e london,-0.0834757,51.5172845
broad street hcuso,-74.853579,40.078004
broad street house,-74.853579,40.078004
broad street house b,-79.9361481,32.7759786
broad street house london,-0.0837472,51.5170312
broad street house new bread,-90.1533548,32.3531681
broad street house old broad,-0.0831981,51.5168279
broad street london,-0.0831981,51.5168279
broad street merchant,-89.9735286,35.1477019
broad street mine,-82.7344167,35.2333333
broad street place,-0.0844759,51.5180672
broad street place b,-0.0844759,51.5180672
broad street place london,-0.0841814,51.5179522
broad street share,-85.3104098,35.0494184
broad street so,-75.1706048,39.9199323
broad street stock dealer,-74.7373497,40.2021167
broad street the secretary of,-77.431954,37.539211
broadway,-94.7053013,37.3961631
broai street place e,-75.1695457,39.9253032
broal street b,-75.1703529,39.920416
brocklcy road engineer,-0.0338692,51.460206
brockley road publisher,-0.0402489,51.4655502
brodrick road upper tooting s,-0.1665712,51.4419565
broken,-95.7813885,36.0628961
bromar road denmark hill,-0.0896078,51.4680637
bromlield road s,-84.165566,39.695068
brompton square s,-95.4230811,29.7045922
brood street stockbroker,-82.9878075,39.9633834
brook street e,-81.1408149,44.482846
brook street oswestry,-3.0619977,52.8560359
brooke road x,-89.074678,42.230559
brosd street b,-75.1703529,39.920416
broughton road ipswich,1.146782,52.0655108
brunswick square w,-74.3810318,40.4230243
bryaneton square w,-0.1610297,51.5172477
brynford street holywell,-3.2199014,53.2712475
bryngyrnna street bryn glam,-3.7150061,51.6161786
bryngyrnos street bryn am,-3.7150061,51.6161786
bswsey road warringtcn lancashire,-2.7044052,53.7632254
buchanan,-95.712891,37.09024
buckingham,-0.987645,51.999326
buenos aires,-58.3815591,-34.6036844
buffalo,-78.8783689,42.8864468
buhopsgate street within fi,-0.0810585,51.5167977
bulgaria,25.48583,42.733883
bultfontein,26.1477598,-28.2750463
burden,-96.7541973,37.3128024
burdett road e,-0.0304694,51.5184797
burlington,-95.9199116,36.135688
burnham,-76.383563,40.050831
burraga,149.5137106,-33.8973847
bury avenue w,-2.2681663,53.4501188
bury road rochdale share,-2.1897557,53.61254
bury street b,-0.1385248,51.506909
bury street chambers bury street,-0.1385248,51.506909
bury street ex,0.7104932,52.2429228
bury street st,-0.1385248,51.506909
bush lane house,-86.9136421,40.0442132
bush lane house cannon street,-0.0895798,51.5109938
bush lane imse l annon,-83.2896473,42.4781559
bute street ardiff,-3.1695538,51.4708678
bute street cardilf,-3.1695538,51.4708678
buxton,-97.307264,32.823042
bwlchgwyn road stone company limited,-3.0977595,53.0715176
by road enderby leicester,-1.2021074,52.5846458
cadogan square s,-0.1610837,51.4950845
calaveras,-95.958341,36.1597065
caledonian road leeds is a,-1.5490774,53.8007554
california,-119.4179324,36.778261
callao,-77.1259843,-12.0508491
calumet,-88.454006,47.2465922
camborne,-5.2947749,50.21277
cambridge,0.121817,52.205337
camden,-75.1196199,39.9259463
camomile street e,-0.0806705,51.5158227
camomile street merchant,-0.0806705,51.5158227
canada,-106.346771,56.130366
canal street mane star,-2.2364351,53.4772984
cananea,-110.289179,30.9897648
candelaria,-104.998821,39.729949
cannom street london,-0.091962,51.5119949
cannon street accountant,-95.5827715,35.2841853
cannon street b,-94.1313289,36.212454
cannon street clerk share,-85.4994192,43.0670601
cannon street con,-79.9494156,32.7879734
cannon street e,-79.8355555,43.252533
cannon street ec,-0.091962,51.5119949
cannon street flo,-83.8088888,42.5682796
cannon street london,-0.091962,51.5119949
cannon street no,-85.2979008,35.0190011
canton,-81.378447,40.7989473
cardiff,-3.17909,51.481581
cardiganshire,-3.9321256,52.2191429
carey street w,-75.1366167,40.0084871
carrick road ayr is a,-4.6289671,55.4530833
carrizal,-73.9228741,40.6897974
cartagena,-75.4794257,10.3910485
carter,-95.6164438,37.0328377
cashel street christchurch new zsalan,172.6497982,-43.5331008
castle square car,-71.0690664,42.3459157
castle street brecon,-3.3921574,51.9487433
castle street cape town south,18.4218407,-33.9219137
castle street east w,-71.4463411,41.6601717
