"","id","role","name","lastname","middlename","firstname","simpname","year","yearg","company","capital","text","office","situated","mine","loc","lon","lat"
"2571",494848,"Manager","hermann pape","pape",NA,"hermann","pape, h",1911,NA,"International Metal Company Limited",NA,"General Manager -Hermann Pape. Seoretary and Offices O. B. Meytr, 1, OxforJ Court, Cannon Street, E.C.","cannon street london",NA,NA,"london",-0.1277583,51.5073509
"2572",494992,"Manager","frank kitto","kitto",NA,"frank","kitto, f",1911,NA,"Isle Man Mining Company Limited",NA,"F. North Mining Manager Frank Kitto, Foxdale Mines, Isle of Man.",NA,NA,NA,"liverpool",-76.2177046,43.106456
"2573",495444,"Manager","n cochrane","cochrane",NA,"n","cochrane, n",1911,NA,"Jumper Gold Syndicate California Limited",NA,"General Manager N. Cochrane, Stent, Tuolumne County, California.",NA,NA,NA,"tuolumne",-119.9740534,38.029655
"2574",495475,"Managers","john taylor sons","sons","taylor","john","sons, j t",1911,1910,"Jumper Gold Syndicate California Limited",NA,"Managers and Consulting Engineers John Taylor and Sons, Quoen Street l .acj, E.C. Auditors Torquand, Youngs A Co. Secretary and Offloes J. Ponsford, 5 & 0, Queen Street Place, E.C. Phone : 823 Bank. This company was registered March 14th, 1910, to acquire the undertaking of","quoen street l",NA,NA,"london",-0.1277583,51.5073509
"2575",495920,"Managers","osborne chapoel","chapoel",NA,"osborne","chapoel, o",1911,NA,"Kinta Alluvial Tin Limited",NA,"General Managers Osborne 4 Chapoel, Ipoh, Perak, Straits Settlements.",NA,NA,NA,"australia",133.775136,-25.274398
"2576",496168,"Manager","v h pearson","pearson","h","v","pearson, v h",1911,NA,"Kosmos Concessionairesi Limited",NA,"Local Manager V. H. Pearson, IpoD.Perak, K.M.S.",NA,NA,NA,"australia",133.775136,-25.274398
"2577",496386,"Manager","j bowman","bowman",NA,"j","bowman, j",1911,NA,"Labuan Coalfields Company Limited",NA,"General Manager J. Bowman, Labuan, Straits Settlements.",NA,NA,NA,"manchester",-2.2426305,53.4807593
"2578",496444,"Manager","oscar s dawbarn","dawbarn","s","oscar","dawbarn, o s",1911,NA,"Lahat Mines Limited",NA,"Mine Manager Oscar S. Dawbarn, Lahat, Malay States-",NA,NA,NA,"australia",133.775136,-25.274398
"2579",496676,"Manager","w banden skewis","skewis","banden","w","skewis, w b",1911,NA,"Lead Hills Company Limited",NA,"EBADHILIiS Mine Manager W. Ban-den Skewis, Leadhills, Lanarkshire.",NA,NA,NA,"devonshire",-3.530875,50.7155591
"2580",496693,"Manager","r l corbett","corbett","l","r","corbett, r l",1911,NA,"Lead Hills Company Limited",NA,"General Manager R. L. Corbett, Ipoh, Perak, F.M.S. Solicitors Godden, Son & Holme. | Bankers Union of Londcn and Smiths, Ltd.",NA,NA,NA,"jersey",-2.13125,49.214439
"2581",496842,"Manager","j w hutchinson","hutchinson","w","j","hutchinson, j w",1911,NA,"Lewis Merthyr Consolidated Collieries Limited",NA,"General Colliery Manager J. W. Hutchinson, Lewis Merthyr Collieries, near",NA,NA,NA,"cardiff",-3.17909,51.481581
"2582",496925,"Managers","john taylor","taylor",NA,"john","taylor, j",1911,NA,"Linares Lead Mining Company Limited",NA,"Managers John Taylor & Sons. 5-1, Queen Street Place, E.O.","queen street place london",NA,NA,"london",-0.1277583,51.5073509
"2583",497017,"Manager","r b nancarrow","nancarrow","b","r","nancarrow, r b",1911,NA,"Linthorpe Dinsdaiite Smelting Limited",NA,"Mine Manager R. B. Nancarrow, Pontrhydygroos, Ystnul Meurig, Cardiganshire.",NA,NA,NA,"wakefield",-71.0723391,42.5039395
"2584",497072,"Engineer","matthew franci halkyn","halkyn","franci","matthew","halkyn, m f",1911,NA,"Llanarmon Granlte Quarries Limited",NA,"Engineer Matthew Franci , Halkyn, Holywell. I Auditors Warmsley, Jones & Co.",NA,NA,NA,"mines at llanarmon near mold the",-3.2109489,53.0966063
"2585",497144,"Manager","james armour","armour",NA,"james","armour, j",1911,NA,"Lochgelly Iron And Coal Limited",NA,"Commercial Manager James Armour. | Solicitors Mackenzie, Roberton t Co. Bankers Clydesdale Bank, Limited ; Union Bank of Scotland, Limited. Auditor T. A. Craig, C.A., Glasgow. Secretary and Offices James Armour, Lochgellr, N.B.",NA,NA,NA,"glasgow",-4.251806,55.864237
"2586",497228,"Manager","j j elcy","elcy","j","j","elcy, j j",1911,NA,"Lofthouse Colliery Limited",NA,"General Manager J. J. Elcy, Loftbouse, Yorkshire. Solicitors Simpson, Thomas & V jrtis, Leeds. | Bankers Beckett & Co., Leeds. Auditors - Samuel Bottomley ; J. W. Close, Leeds. Secretary and Offices S. C. Tuffley, Lofthouso, near Wakefield.",NA,NA,NA,"yorkshire",-95.9250798,36.0333234
"2587",497529,"Manager","juseph hale","hale",NA,"juseph","hale, j",1911,NA,"Lydney And Crump Meadow Collieries",NA,"Manager Juseph Hale, Cnimp Meadow, Cinderford, Glos. Secretary and Offices C. A. J. Ha c, Cinderford, Glos.",NA,NA,NA,NA,NA,NA
"2588",497944,"Engineers","harvey wilbrabani","wilbrabani",NA,"harvey","wilbrabani, h",1911,NA,"Mason And Barry Limited",NA,"Consulting Engineers Harvey and Wilbrabani, 2, Laurence Pountney Bill, E.C.",NA,NA,NA,"london",-0.1277583,51.5073509
"2589",498192,"Manager","in mexico louis godin","godin","mexico","in","godin, i m",1911,NA,"Mexican Gold And Silver Recovery",NA,"General Manager in Mexico Louis Godin. | Local Offices Mexico City.",NA,NA,NA,"mexico",-102.552784,23.634501
"2590",498378,"Manager","a p main","main","p","a","main, a p",1911,NA,"Mexico And Colo Isy Ndlcale",NA,"General Manager A. P. Main, Bl Oro, Mexico. Auditors Deloitte, Plender, Griffiths A Co.",NA,NA,NA,"mexico",-102.552784,23.634501
"2591",498507,"Manager","j graham","graham",NA,"j","graham, j",1911,NA,"Millom And Askam Hematite Iron",NA,"General Manager J. Graham, Millom, Cumberland. Solicitors S. Hart Jackson & Bona inversion . Bankers Bank of Liverpool, Limited, Liverpool.",NA,NA,NA,"cumberland",-78.7625185,39.6528654
"2592",498942,"Manager","alexander barren","barren",NA,"alexander","barren, a",1911,NA,"Montana Mining And Mineral Resources Research Institute",NA,"MONTANA MINING Goneral Manager Alexander Barren, Marysvillo, Montana, U.S.A. Consulting Engineer R. T. Bayliss, II, Cornhill, B.C.",NA,NA,NA,"montana",-110.3625658,46.8796822
"2593",499003,"Engineers","bainbrid c","bainbri",NA,"bainbrid","bainbri, b",1911,NA,"Morales Exploration Companydmttedt",NA,"Consulting Engineers Bainbrid c, Seymour Ac Co.",NA,NA,NA,"london",-0.1277583,51.5073509
"2594",499138,"Manager","lewis t wright","wright","t","lewis","wright, l t",1911,NA,"Mountain Copper Company Limited",NA,"Resident Manager Lewis T. Wright, C.E., San Francisco, Cal., U.S.A.",NA,NA,NA,"san francisco",-122.4194155,37.7749295
"2595",499266,"Managers","job n taylor","taylor","n","job","taylor, j n",1911,NA,"Mysore Gold Mining Company Limited",NA,"Managers Job n Taylor & Sons, 6 &6. Queen Street Place, E.C. Superintendent of the Mine Arthur Gilford, Marikuppain, Mysore, Tndia. Bankers Union Bank of Scotland, Limited. | Auditors Turquand, Youngs 4 Co. Secretary and Offices William F. Garland, 5 k 6, Queen Street Place, E.C.","queen street place london",NA,NA,"london",-0.1277583,51.5073509
"2596",499397,"Superintendent","in chairman","chairman",NA,"in","chairman, i",1911,NA,"Mysore Reefs And Explorers Limited",NA,"Sir Henry W. Bliss, K.C.I.E., Superintendent in Chairman. | G. Parker. | G. T. Bait. India Percy Bosworth Smith, Tank Mine, Oorgaum. Agents in India Best & Co., Madras. | Solicitors Seaton P. Taylor & Co. Bankers Martin s Bank. Limited. | Auditors Price, Waterhouse & Co,",NA,NA,NA,"madras",80.2707184,13.0826802
"2597",499562,"Manager","b h bolc","bolc","h","b","bolc, b h",1911,NA,"National Mining And Finance Syndicate",NA,"General Manager B. H. Bolfc. Solicitors Fobs, Bilbrough, Plaskitt, IToss & Br j ant. | Bankers Parr s Bank, Ltd. Secretary Auditors Price, Watcrliouse & Co. and Offices J. J. Mo r, 26, Victoria Sircot, S.W.",NA,NA,NA,"norfolk",-76.2858726,36.8507689
"2598",499730,"Engineer","trevor f thomas","thomas","f","trevor","thomas, t f",1911,NA,"New British Columbia Development Corporation",NA,"Consulting Engineer Trevor F. Thomas. Mine Manager T. W. Curry, Glyn, Neath.",NA,NA,NA,"london",-0.1277583,51.5073509
"2599",499860,"Manager","j mitchell","mitchell",NA,"j","mitchell, j",1911,NA,"New Clements Syndicate Limited",NA,"Mine Manager J. Mitchell. | Solicitors Terrell & Varley. BanSkeecrrse taLrlyoyds Bank, Limitod. | Auditors Francis & Sharpe. and Offices Frank Varley, H, Copthall Avenue, E.C. Telegrams : Ralentless, London. Phone : 478 Wall. This company wai registered November lath, 1902, to acquire by agreement","copthall avenue london",NA,NA,"terrell",-96.2752569,32.7359626
"2600",499870,"Manager","david f davies","davies","f","david","davies, d f",1911,NA,"New Cross Hands Colljgeries Limited",NA,"Colliery Manager David F. Davies, New Cross Hands Colliery, Cross Hands,",NA,NA,NA,"england",-1.1743197,52.3555177
"2601",499972,"Engineer","e s wiarj","wiarj","s","e","wiarj, e s",1911,NA,"New Dynant Anthracite Colliery Limited",NA,"Consulting Engineer E. S. Wiarj.",NA,NA,NA,"bristol",-82.1887444,36.5951059
"2602",500051,"Manager","f j h lnscellea","lnscellea","j","f","lnscellea, f j",1911,NA,"New Gored Merthyr Collieries Limited",NA,"Manager F. J. H. Lnscellea, Brynowel, Resolven, Glnm.",NA,NA,NA,"swansea",-3.943646,51.62144
"2603",500170,"Manager","j w ashworth","ashworth","w","j","ashworth, j w",1911,NA,"New Lymni Limited",NA,"NEW I, Y MNI Mine Manager J. W. Ashworth, Lymni Mine, Cyprus.",NA,NA,NA,"london",-0.1277583,51.5073509
"2604",500278,"Managers","john taylor sons","sons","taylor","john","sons, j t",1911,NA,"New Options Exploration Limited",NA,"Managers John Taylor Sons, 5-8, Queen St. Place, E.C.",NA,NA,NA,"london",-0.1277583,51.5073509
"2605",500655,"Manager","r ramsay","ramsay",NA,"r","ramsay, r",1911,NA,"Niddrie And Benhar Coal Limited",NA,"General Manager R. Ramsay, Niddrie, Portobello. Mining Manager John Hark, Niddrie Collieries, Portobel o, N.B.",NA,NA,NA,"ontario",-85.323214,51.253775
"2606",500832,"Managers","john taylor","taylor",NA,"john","taylor, j",1911,NA,"North Anantapur Gold Mines Limited",NA,"Managers and Consulting Engineers John Taylor & Sons, 0, Queen Street Place, E.C. Mino Superintendent W. T. Stonar, Morriston P.O., Southern India.","queen street place london",NA,NA,"london",-0.1277583,51.5073509
"2607",501071,"Manager","wm thomas","thomas",NA,"wm","thomas, w",1911,NA,"North Wales Coal Company Limited",NA,"Manager Wm. Thomas. Secretary and Offices T. S. Worley, 33, Old Broad Street, E.C.","broad street london",NA,NA,"wales",-3.7837117,52.1306607
"2608",501161,"Engineer","b b lawrence","lawrence","b","b","lawrence, b b",1911,NA,"Nova Scotia Silver Cobalt Mining",NA,"Consulting Engineer B. B. Lawrence. | Superintendent A. F. McT.iren",NA,NA,NA,"canada",-106.346771,56.130366
"2609",501175,"Manager","thomas caitley","caitley",NA,"thomas","caitley, t",1911,NA,"Nova Scotia Steel And Coal Company",NA,"Vice-President and General Manager Thomas Caitley.",NA,NA,NA,"canada",-106.346771,56.130366
"2610",501220,"Managers","john taylor","taylor",NA,"john","taylor, j",1911,NA,"Nundydroog Gold Mining Company",NA,"Managers - John Taylor",NA,NA,NA,"london",-0.1277583,51.5073509
"2611",501335,"Manager","and oices h kendrick","kendrick","oices","and","kendrick, a o",1911,NA,"Oak Dale Navigation Colliery Limited",NA,"Auditors A. Tongue & Co. Cardiff Manager and Offices H. Kendrick, The Exchange, Cardiff. Secretary and Offices H. O. Monkley, 00, Fenchurch Street, E C.","fenchurch street e c",NA,NA,"cardiff",-3.17909,51.481581
"2612",501366,"Managers","john taylor","taylor",NA,"john","taylor, j",1911,NA,"Oaxaca Mines Development Company Limited",NA,"OAXACA MINES DEVELOPMENT Managers John Taylor & Sons, 6, Queen Street Place, E C.","queen street place e c",NA,NA,"oaxaca",-96.7265889,17.0731842
"2613",501409,"Manager","and oices j cundy","cundy","oices","and","cundy, a o",1911,NA,"Ocean Coal And Wilsons Limited",NA,"London Manager and Offices J. 51. Cundy, 225, Salisbury House. E.C.",NA,NA,NA,"london",-0.1277583,51.5073509
"2614",501501,"Managers","john taylor","taylor",NA,"john","taylor, j",1911,NA,"Ooregum Gold Mining Company",NA,"Managers John Taylor & Sons, 6 and 6, Queen Street Place, K.C.","queen street place k",NA,NA,"london",-0.1277583,51.5073509
"2615",501502,"Superintendent","r h p bullen","bullen","h","r","bullen, r h",1911,NA,"Ooregum Gold Mining Company",NA,"Mine Superintendent R. H. P. Bullen, Oorgaum, Mysore, India.",NA,NA,NA,"mysore",76.6393805,12.2958104
"2616",501674,"Manager","a welhaven","welhaven",NA,"a","welhaven, a",1911,NA,"Oriental Consolidated Mining Company",NA,"General Manager A. Welhaven, Puk Cbin, Korea. Agent W. D. Townsend, Chemulpo, Korea. Secretary and Head Offices G. Kennaby, 15, Broad Street, New York, U.S.A.","broad street new york u",NA,NA,"korea",127.9784585,37.6639976
