"","id","year","company","capital","minerals","owns","owned","doutput","technology","incor","loc","text","lastname","firstname","middlename","prof"
"220","mmm1198",1926,"humboldt mining co.",NA,NA,NA,NA,NA,NA,NA,"del rio nay","location, 6 miles south of ixtlan del rio, nay., ",NA,NA,NA,NA
"221","mmm1203",1926,"humboldt mining co.",NA,NA,NA,NA,"50 metric tons",NA,NA,"nayarit","daily output, 50 metric tons, ",NA,NA,NA,NA
"222","mmm1204",1926,"humboldt mining co.",NA,NA,NA,NA,NA,NA,NA,"bdg Philadelphia pa","president, t. f. taylor, drexel bdg. Philadelphia, pa.","taylor","thomas",NA,"president"
"223","mmm1210",1926,"la corona mining milling co.",NA,NA,"this company owns the magnolia, capitana and tejon mines.",NA,NA,NA,NA,"nayarit","this company owns the magnolia, capitana and tejon mines.",NA,NA,NA,NA
"224","mmm1211",1926,"la corona mining milling co.",NA,NA,NA,NA,NA,NA,NA,"yago nay","mill location, yago, nay., ",NA,NA,NA,NA
"225","mmm1220",1926,"negociacion minera de huicicila",NA,NA,NA,NA,NA,NA,NA,"stoneboro pa","owner, george h. mclntire, stoneboro, pa.","mcleod","george",NA,"owner"
"226","mmm1226",1926,"san miguel mining co.",NA,NA,NA,NA,NA,NA,NA,"calle madero guadalajara","purch. agt., w. l. smart, calle madero 218, guadalajara","smart","william","frederick","purch. agt."
"227","mmm1235",1926,"cia. exploradora de minas viejas s. a.",NA,NA,NA,NA,NA,NA,NA,"viejas n l","location, minas viejas, n. l., ",NA,NA,NA,NA
"228","mmm1243",1926,"cia. fundidora de fierro y acero de monterrey.",NA,NA,NA,NA,NA,NA,NA,"sts new york","foreign office, 5th & beekman sts . new york, ",NA,NA,NA,NA
"229","mmm1245",1926,"cia. fundidora de fierro y acero de monterrey.",NA,NA,NA,NA,NA,NA,NA,"mexico df","president, adolfo prieto, mexico, d. f.","pridgecn","adolfo",NA,"president"
"230","mmm1255",1926,"cia. fundidora de fierro y acero de monterrey.",NA,NA,NA,NA,NA,NA,NA,"monterrey n l","ming. eng., w. davisson, monterrey, n. l.","davison","william","bell","ming. eng."
"231","mmm1261",1926,"cia. minera la soledad s. a.",NA,NA,NA,NA,NA,NA,NA,"hildalgo n l","location, sierra . de minas viejas district, sabinas hildalgo, n. l.",NA,NA,NA,NA
"232","mmm1262",1926,"cia. minera la soledad s. a.",NA,NA,NA,NA,NA,NA,NA,"sabinas n l","local p. o, sabinas, n. l., ",NA,NA,NA,NA
"233","mmm1264",1926,"cia. minera la soledad s. a.",NA,NA,"this company owns the la soledad mine.",NA,NA,NA,NA,"nuevo leon","this company owns the la soledad mine.",NA,NA,NA,NA
"234","mmm1271",1926,"cia. min. santa eugenia de monterrey y anexas",NA,NA,"this company owns the santa eugenia mine.",NA,NA,NA,NA,"nuevo leon","this company owns the santa eugenia mine.",NA,NA,NA,NA
"235","mmm1272",1926,"cia. min. santa eugenia de monterrey y anexas",NA,NA,NA,NA,NA,NA,NA,"monterrey n l","manager, a. r. bushnell, monterrey, n. l.","bushnell","a",NA,"manager"
"236","mmm1272",1926,"cia. min. santa eugenia de monterrey y anexas",NA,NA,NA,NA,NA,NA,NA,"monterrey n l","manager, a. r. bushnell, monterrey, n. l.","bushnell","a",NA,"manager"
"237","mmm1274",1926,"hijos de a. carnavali",NA,NA,NA,NA,NA,NA,NA,"mitra n l","location, sierra de la mitra, n. l., ",NA,NA,NA,NA
"238","mmm1278",1926,"inspiration mining co.",NA,NA,NA,NA,NA,NA,NA,"vallecillo n l","location & p. o., vallecillo, n. l., ",NA,NA,NA,NA
"239","mmm1280",1926,"la paz mine",NA,NA,NA,NA,NA,NA,NA,"la paz mine","la paz mine, ",NA,NA,NA,NA
"240","mmm1286",1926,"sindicato minero fundidor cerralvo bustamante s. a.",NA,NA,NA,NA,NA,NA,NA,"picachos n l","location, sierra picachos, n. l., ",NA,NA,NA,NA
"241","mmm1286",1926,"sindicato minero fundidor cerralvo bustamante s. a.",NA,NA,NA,NA,NA,NA,NA,"picachos n l","location, sierra picachos, n. l., ",NA,NA,NA,NA
"242","mmm1286",1926,"sindicato minero fundidor cerralvo bustamante s. a.",NA,NA,NA,NA,NA,NA,NA,"picachos n l","location, sierra picachos, n. l., ",NA,NA,NA,NA
"243","mmm1288",1926,"sindicato minero fundidor cerralvo bustamante s. a.",NA,NA,NA,NA,NA,NA,NA,"monterrey n l","main office in mexico, apartado 102,, monterrey, n. l.",NA,NA,NA,NA
"244","mmm1289",1926,"sindicato minero fundidor cerralvo bustamante s. a.",NA,"lead silver.",NA,NA,NA,NA,NA,"nuevo leon","lead silver.",NA,NA,NA,NA
