id,type,year,text
8392,cia,1911,"sweet, thomas george, broken hill, new south wales.broken hill south extended, ltd"
8393,cia,1911,"symonds, e. j. l, gropwell butler, notts.cropwell gypsum mines, ltd"
8394,cia,1911,"symona. brenton, goose cove, district of st barbe, newfoundland.cove copper mines, ltd"
8395,cia,1911,"ait, william raitt, box , krugersdorp, transvaal.luipaard s vlei estate and gold mining ltd"
8396,cia,1911,"tallis, a. s, j.p, tredegar, monmouthshire,oakdale navigation collieries, ltd"
8397,cia,1911,tredegar iron and coal ltd
8398,cia,1911,"tamblyn, joseph, condurrow mines, camborne, cornwall.condurrow mines, ltd"
8399,cia,1911,"tank. j. w , west smithfleld, b.c, and windource parade. ballarat. victoriaaustralian midas gold estates. ltd"
8400,cia,1911,"wwtanner, j, crofty, penclawdd, wales.new lynch colliery ltd"
8401,cia,1911,"tarbuttpercyco, st. switbin a lane, londonbritish borneo exploration ltd"
8402,cia,1911,"durban navigation collieries, ltd"
8403,cia,1911,"gold reefs of barium, ltd"
8404,cia,1911,kafue copper development ltd
8405,cia,1911,"northern copperb. s. a, ltd"
8406,cia,1911,prestea mines. ltd
8407,cia,1911,rhodesia copper ltd
8408,cia,1911,"ate,wandererselukwegold mines, ltd"
8409,cia,1911,"simon. trimdon grange, ltd"
8410,cia,1911,"darham.walter scott, ltd"
8411,cia,1911,"taylor, j. k, julia mine, fregineda, salamanca dlltlict, spain julia copper mining synd, ltd"
8412,cia,1911,"miking and consulting engineers, ire. taylor, j. h, aukavandra, madagascar.taylomri ,ioil development ltd"
8413,cia,1911,"johnsons, queen street place, londonanantapur gold field, ltd"
8414,cia,1911,"anglo australian exploration, ltd"
8415,cia,1911,"anglo french guinea synd, ltd"
8416,cia,1911,australasian gold mining ltd
8417,cia,1911,balaghat gold mining ltd
8418,cia,1911,"barraraia mining and exploration, ltd"
8419,cia,1911,"razilan mining bynd, ltd"
8420,cia,1911,cape coper ltd
8421,cia,1911,champion reef gold mining ltd
8422,cia,1911,"of india, ltd"
8423,cia,1911,cordoba copper ltd
8424,cia,1911,"dharwar gold mines, ltd"
8425,cia,1911,"dhtmpnrehimalayan synd, ltd"
8426,cia,1911,fortuna ltd
8427,cia,1911,"gibraltar consolidated gold mines, lff. gold fields of mysore and general exploration ltd"
8428,cia,1911,henderson and foriws gold mining ltd
8429,cia,1911,incahuara gold dredging ltd
8430,cia,1911,"kabulgitti gold mines, ltd"
8431,cia,1911,"kolar mines power station, ltd"
8432,cia,1911,linares lead mining ltd
8433,cia,1911,mount boppy gold mining ltd
8434,cia,1911,mvsore gold mining ltd
8435,cia,1911,"mysore reefsand explorers, ltd"
8436,cia,1911,"new kempinkote gold field, ltd"
8437,cia,1911,"new options exploration, ltd"
8438,cia,1911,"north anantapur gold mines, ltd"
8439,cia,1911,"north mount boppy, ltd"
8440,cia,1911,north of brazil finance and development ltd
8441,cia,1911,nundydroog ltd
8442,cia,1911,ooregum gold hiningltd
8443,cia,1911,"of india, ltd"
8444,cia,1911,"ouro proto gold mines of brazil, ltd"
8445,cia,1911,"royalhel a, ltd"
8446,cia,1911,"santiago synd, ltd"
8447,cia,1911,"st. kent miningynd, ltd"
8448,cia,1911,south mount hoppv gold mining ltd
8449,cia,1911,sudan gold field ltd
8450,cia,1911,"tasmania gold mine, ltd"
8451,cia,1911,"taylourr,allh gold dredging ltd"
8452,cia,1911,"john, winning, manitoba.taylowre,stern dominion collieries, ltd"
8453,cia,1911,"r. f, cobalt, ontario.right of way mines, ltd"
8454,cia,1911,"teasdale, j, bendigo, victoria, australia.telfevr,ictoria proprietary , ltd"
8455,cia,1911,"william, cddingaton, n.b.w ilsons and clyde coal ltd"
8456,person,1911,"tennant, aubrey, box , germibton transvaal."
8457,cia,1911,"thamem,t y j,consolidated gold mining ltd"
8458,person,1911,"lzo, upper richmond road, east sheen."
8459,cia,1911,"bonnenigeriaalluvial tin, ltd"
8460,person,1911,"thorn, j. r, blackhill, near llrugspruit, middelburg district, transvaal, and box ,"
8461,person,1911,"brakspan, transvaal."
8462,cia,1911,"anglo french transvaalnavigation coal estates, ltd"
8463,cia,1911,"apex mines, ltd"
8464,person,1911,"thomas, b, pantdreining quarry, bethesda."
8465,cia,1911,"thomnaosr,th wales quarries, ltd"
8466,cia,1911,"b, liontown, charters towers, queensland. carrington s united mines, ltd"
8467,person,1911,"thomas, h. musson, cleveland, transvaal."
8468,cia,1911,"geldenhuis deep, ltd"
8469,cia,1911,"thomas, honrr, plymouth works, merthyr tydvil, glnnionranshire. hills plymouth ltd"
8470,person,1911,"thomas, r. arthur, camborne, cornwall."
8471,cia,1911,"dolcoath mine, ltd"
8472,cia,1911,treveddoe mining ltd
8473,cia,1911,"wheal vor, ltd"
8474,person,1911,"thomas, r. f."
8475,cia,1911,"thomualsu,ndi gold minirg ltd"
8476,person,1911,"treror f, glyncorrwg colliery, near neath."
8477,cia,1911,glyncorrwpf colliery ltd
8478,cia,1911,"thomnaesw, british rhondda colliery ltd w. k."
8479,cia,1911,"thomrahso,desian gold explorers, ltd w. r."
8480,cia,1911,"thommavsa, lls and peak hill gold mines. ltd"
8481,person,1911,"william, tvn twh colliery, mold, north wales."
8482,cia,1911,"thomnaosr,th wales coal ltd"
8483,person,1911,"william r, tuckingniill, camborne, cornwall."
8484,cia,1911,"thomgarse,at dowgas tin minos, ltd"
8485,cia,1911,"wyndham, haresfield, langland bay. gellihir colliery ltd"
8486,cia,1911,"swansea. navigation collieries, ltd"
8488,person,1911,"thomson, a. a, kansanshi, n.w. rhodesia."
8489,cia,1911,rhodesiakatarga junction railway and mineral ltd
8490,cia,1911,"tanganyika concessions, ltd"
8491,person,1911,"thomson, a. r , wankie, rhodesia."
8492,cia,1911,wankie colliery ltd
8493,person,1911,"thomson, a. t, manvers main collieries, wath upon dcarne, yorkshire."
8494,cia,1911,"manners main collieries, ltd"
8495,person,1911,"thomson, samuel c, box, johannesburg, transvaal."
8496,cia,1911,"bucks beef gold mines, ltd"
8497,cia,1911,"cloverbeld mines, ltd"
8498,cia,1911,"consolidated main reef mines and estate, ltd"
8499,cia,1911,"knight central, ltd"
8500,cia,1911,"main reef west, ltd"
8501,cia,1911,"marievale nigel gold mines and estate, ltd"
8502,cia,1911,"south randfontein deep, ltd"
8503,cia,1911,"treasury gold mines, ltd"
8504,cia,1911,"vogelstruis consolidated deep, ltd"
8505,cia,1911,welgedacht exploration ltd
8506,cia,1911,"west rand consolidated mines, ltd"
8507,cia,1911,"west roodepoort deep, ltd"
8508,cia,1911,"witbank colliery, ltd"
8509,cia,1911,"witwaterarand deep, ltd"
8510,cia,1911,"wolhuter gold mines, ltd"
8511,cia,1911,"york gold mining synd, ltd"
8512,person,1911,"thorburn, j. a, pretoria street, troyeville, johannesburg, transvaal."
8513,cia,1911,pniel diamond mining ltd
8514,person,1911,"thornley, h. v, pontardawe, glamorganshire."
8515,cia,1911,hedley s collieries ltd
8516,person,1911,"thurston. g. h, box , johannesburg, transvaal."
8517,cia,1911,"consolidated gold fields of south africa, ltd"
8518,person,1911,"till , george f, sucre, puerto, berrio, colombia."
8519,cia,1911,"colombian mines ltd. , ltd"
8520,cia,1911,"titleys,ucre mine, ltd"
8521,cia,1911,"t. l, charters towers, queens and. victorycharters towersgold mining ltd"
8522,person,1911,"todd, j. t, blackwell colliery, alfreton."
8523,cia,1911,blackwell colliery ltd
8524,person,1911,"toennesen. t, grootfontein,.w. africa."
8525,cia,1911,south west africa ltd
8526,person,1911,"tomacelli, d. c, talea mines, villa alts, state of oaxaca, mexico."
8527,cia,1911,"tonktinal,ea synd, ltd"
8528,person,1911,"john son, carn brea, r.s.o, cornwall."
8529,cia,1911,"condurro mines, ltd"
8530,cia,1911,"toring,renville united mines, ltd"
8531,person,1911,"r. m, bietkml. klersdorp district, transvaal."
8532,cia,1911,"afrikander proprietary gold mines, ltd"
