source,year,simpname,nationality,edu,prof,org,loc,lon,lat,country
taime,1884,"anderson, r r",,,,,pittsburgh pa,-79.995886,40.440625,united states of america
taime,1896,"anderson, r r",,,,,pittsburgh pa,-79.995886,40.440625,united states of america
taime,1902,"anderson, r r",,,,carbon steel co,pittsburgh pa,-79.995886,40.440625,united states of america
taime,1902,"anderson, w w",,,,congress cons. m. co,cincinnati ohio,-84.51202,39.103118,united states of america
taime,1909,"anderson, w w",,,,,san francisco cal,-122.419416,37.77493,united states of america
taime,1902,"andrewes, e e",,,,maen offeren slate quarry co,portmadoc north wales,-4.133384,52.927842,united kingdom
taime,1892,"andrews, c c",,,mining engineer,s harbor guysboro co,greysboro co nova scotia.,-63.744311,44.681987,canada
taime,1902,"andrews, c c",,,mining engineer,s harbor guysboro co,nova scotia.,-63.744311,44.681987,canada
taime,1886,"anes, r r",,,,,germantown philadelphia,-75.174967,40.028521,united states of america
taime,1886,"anperson, j j",,,,tredegar iron works,richmond va,-77.436048,37.540725,united states of america
taime,1882,"anspach, f f",,,,,philadelphia pa,-75.165222,39.952584,united states of america
taime,1902,"anthony, r r",,,mining engineer,,b.c. canada,-127.647621,53.726668,canada
taime,1892,"antonio, d d",,,,,mexico city,-99.133208,19.432608,mexico
taime,1902,"antonio, d d",,,,,mexico city,-99.133208,19.432608,mexico
taime,1902,"antz, e e",,,metallurgist,,cuprum idaho.,-116.689314,45.086546,united states of america
taime,1892,"aoassiz, p p",,,,,cambridge mass,-71.109734,42.373616,united states of america
taime,1902,"aoassiz, p p",,,,,cambridge mass,-71.109734,42.373616,united states of america
taime,1880,"apams, w w",,,,,chicago ill,-87.629798,41.878114,united states of america
taime,1877,"apapre, e e",,,,orinoco exploring and mining co.,walnut st philada,-75.194787,39.953146,united states of america
taime,1911,"apgar, f f",,,,,jamaica n y,-73.788969,40.702677,united states of america
taime,1908,"aplin, w w",,,,,moonta south australia,137.5851,-34.069212,australia
taime,1882,"apnort, a a",,,,,new york city,-74.005973,40.712775,united states of america
taime,1890,"appleby, w w",,,,,jersey city n j,-74.043144,40.717755,united states of america
taime,1892,"appleby, w w",,,,,minneapolis minnesota,-93.265011,44.977753,united states of america
taime,1902,"appleby, w w",,,,,minneapolis minnesota,-93.265011,44.977753,united states of america
taime,1909,"applegren, f f",,,,,chicago ill,-87.629798,41.878114,united states of america
taime,1882,"appleton, e e",,,,,canajoharie n y,-74.571807,42.905629,united states of america
taime,1884,"appleton, e e",,,,,canajoharie n y,-74.571807,42.905629,united states of america
