"id","company"
"amm19030","black butte quicksilver mining company"
"amm19046","columbia cold mining company"
"amm19050","combination mines company"
"amm19074","eastern oregon mining company"
"amm19081","el toro mining company"
"amm19088","gold peak mining company"
"amm19130","michigan mining milling company"
"amm19140","igo consolidated mines igo ogp"
"amm19184","sanger gold mines company"
"amm19195","stampede mining milling company"
"amm19196","stampede mining milling company"
"amm19199","sterling mining and milling company"
"amm19200","sterling mining and milling company"
"amm1924","nonpareil gold syndicate ltd"
"amm1925","nonpareil gold syndicate ltd"
"amm19265","electric lamps ensure economy"
"amm19390","american exploration and development corporation"
"amm19400","american swedo iron company"
"amm19464","bullion coalition mines stockton lgp"
"amm19480","carisa copper gold mining company"
"amm19483","keffi consolidated tin ltd"
"amm19494","century gold mining milling company"
"amm19604","gemini godiva consolidated mining company"
"amm19615","gold spring mining company"
"amm19671","iron king consolidated mining company"
"amm19680","kennan mining company"
"amm19695","little bell consolidated mining company"
"amm19801","plutus mining company"
"amm19807","promontorio mining company"
"amm19833","scranton mining g smelting company"
"amm19856","peak silver mining company"
"amm19873","south columbus consolidated mining company"
"amm2","gold mines"
"amm20004","ida mining milling company"
"amm20083","ibex mining company"
"amm2013","pyrenees gold mining company"
"amm2014","pyrenees gold mining company"
"amm20152","mirasol mining company"
"amm20176","palmer mountain tunnel power company"
"amm2018","queen esther mining company"
"amm2019","queen esther mining company"
"amm2020","queen esther mining company"
"amm2021","queen esther mining company"
"amm20250","cliff gold mining company"
"amm20254","grand oak mining company"
"amm20348","beryl gold mining milling company"
"amm20350","beryl gold mining milling company"
"amm20373","san fernando copper mining smelting company"
"amm20390","alvarado mining g milling company"
"amm20419","august mining company"
"amm20420","august mining company"
"amm20421","baldomero mining company"
"amm20422","baldomero mining company"
"amm20468","descubridora mining smelting company"
"amm20516","ibarra mining company"
"amm20557","laredo mining company"
"amm20565","manitou mining company"
"amm20582","molly gibson mining company"
"amm20622","princess mining company"
"amm20674","san pedro mining milling company"
