,id,source,original name,simplified name,year,class,loc,lon,lat
1304,11700,total,"howes, george l","howes, g l",1900,NA,FALSE,,
1305,11701,total,"howes, herbert m","howes, h m",1888,II,FALSE,,
1306,11711,total,"howland, albert henry","howland, a h",1871,I,FALSE,,
1307,11750,total,"hoyt, frederick a","hoyt, f a",1880,II,FALSE,,
1308,11751,total,"hoyt, frank c","hoyt, f c",1886,VI,FALSE,,
1309,11786,total,"hubbard, frank james","hubbard, f j",1896,I,FALSE,,
1310,11789,total,"hubbard, gilbert","hubbard, g",1890,NA,FALSE,,
1311,11805,total,"hubbard, william henry","hubbard, w h",1900,V,FALSE,,
1312,11813,total,"huckins, albert h","huckins, a h",1883,II,FALSE,,
1313,11832,total,"huff, montgomery gerrans","huff, m g",1902,II,FALSE,,
1314,11846,total,"hughes, edward seneca","hughes, e s",1894,II,FALSE,,
1315,11875,total,"hume, harry gifford","hume, h g",1908,III,FALSE,,
1316,11878,total,"humphrey, charles farrar","humphrey, c f",1910,VI,FALSE,,
1317,11893,total,"humphreys, james barnes","humphreys, j b",1896,II,FALSE,,
1318,11898,total,"hungerford, jarvis warren","hungerford, j w",1895,NA,FALSE,,
1319,11899,total,"hunking, arthur w","hunking, a w",1872,NA,FALSE,,
1320,11910,total,"hunt, alfred e","hunt, a e",1876,III,FALSE,,
1321,11917,total,"hunt, charles h","hunt, c h",1872,NA,FALSE,,
1322,11918,total,"hunt, carlton ritter","hunt, c r",1896,V,FALSE,,
1323,11925,total,"hunt, george fessenden","hunt, g f",1906,IV,FALSE,,
1324,11926,total,"hunt, george p","hunt, g p",1873,NA,FALSE,,
1325,11938,total,"hunt, john francis","hunt, j f",1892,NA,FALSE,,
1326,11939,total,"hunt, james henry","hunt, j h",1901,NA,FALSE,,
1327,11947,total,"hunt, theodore baker","hunt, t b",1871,NA,FALSE,,
1328,11950,total,"hunt, william lloyd","hunt, w l",1904,II,FALSE,,
1329,11951,total,"hunt, william p","hunt, w p",1882,NA,FALSE,,
1330,11959,total,"hunter, macauley","hunter, m",1889,NA,FALSE,,
1331,11960,total,"hunter, roy","hunter, r",1909,I,FALSE,,
1332,11969,total,"huntington, constant dwight","huntington, c d",1903,IV,FALSE,,
1333,11970,total,"huntington, charles mckay","huntington, c m",1906,XIII,FALSE,,
1334,11978,total,"huntington, william francis","huntington, w f",1875,I,FALSE,,
1335,11983,total,"huntyharry, draper","huntyharry, d",1897,IX,FALSE,,
1336,11984,total,"huntzinger, benjamin frank","huntzinger, b f",1893,NA,FALSE,,
1337,11990,total,"hurd, william","hurd, w",1868,NA,FALSE,,
1338,11995,total,"hurley, frederick aloysius","hurley, f a",1910,III,FALSE,,
1339,12021,total,"hutchings, lydia a","hutchings, l a",1888,V,FALSE,,
1340,12022,total,"hutchings, william r","hutchings, w r",1873,NA,FALSE,,
