"","id","year","company","capital","office","yearg","situated","mine","loc","text","lastname","firstname","middlename","prof"
"128","myb355725",1909,"NEW GHASKOP EXPLORING",NA,NA,NA,NA,NA,"london","was shut down owing to depletion of ore reserves and scarcity of water for power.",NA,NA,NA,NA
"129","myb356197",1909,"NEW MODDERFONTEIN GOLD",NA,NA,NA,NA,NA,"london","£7,069 ; caxh and investments £2,016 ; creditors £31 1.",NA,NA,NA,NA
"130","myb360797",1909,"INVESTORS REVIEW",NA,NA,NA,NA,NA,NA,"PUBLISHED EVERY SATURDAY MORNING.",NA,NA,NA,NA
"131","myb365740",1909,"ANANTAPUR GOLD FIELD LTD",NA,NA,NA,NA,NA,"queen street place e","Solicitors Francis 4 Johnson. | Bankers Union Bank oi Scotland, Ltd.",NA,NA,NA,NA
"132","myb366120",1909,"ANTIMONY LEASING SYNDICATE LIMITED",2436647,NA,NA,NA,NA,"bolivia","The authorised capital is £500,000, in 50,000 shares of £10 eaoh; 49,669",NA,NA,NA,NA
"133","myb368796",1909,"BWLLFA AND MERTHYR DARE STEAM COLLIERIES D LIMITED",NA,NA,NA,NA,NA,"cardiff","Dare Steam Collieries, Ltd., a company registered on the 21st October, 1890, with",NA,NA,NA,NA
"134","myb374867",1909,"HUANCHACA COMPANY OF BOLIVIA",NA,NA,NA,NA,NA,"valparaiso","Directors in Valparaiso.",NA,NA,NA,NA
"135","myb382368",1909,"PEKIN SYNDICATE LIMITED",NA,NA,NA,NA,NA,"london","PEKIN SYNDICATE from the Shansi and Honan concessions nntil the sums paid in respect of such percentage",NA,NA,NA,NA
"136","myb384473",1909,"SAN BARTOLOME SILVER LEAD MINES LIMITED",NA,NA,NA,NA,NA,"kensington","SAN SALVADOR SPANISH IRON ORE CO., LTD.",NA,NA,NA,NA
"137","myb384949",1909,"SHEMARA MININ G COMPANY LIMITED",NA,NA,NA,NA,NA,"siberia","mines in the district of Eastern Siberia, embracing the river systems of the Kara,","eask","minesthe","district","board"
"138","myb385304",1909,"TBB MINING UANCAL",NA,NA,1886,NA,NA,"yorkshire","SOOTHILL WOOD COLLIERY COMPANY, LIMITED DirecSteocrrse taAry. B. Blakeley j R. I. Critch ey, J.P. ; W. Critchley ; H. Child ; H. W. Day. and Offices S. Blakeley, SoothiU Wood Colliery, Batley, Yorks. This company was registered September 16th, 1886, to acquire from A B.",NA,NA,NA,NA
"139","myb389942",1910,"BBOKEN HILL PBOPBIETABY COMPATTY",NA,NA,NA,NA,NA,"brisbane","as the Brisbane Blooks, was purchased for £5,000, and in 1894, two blooks of",NA,NA,NA,NA
"140","myb390553",1910,"COBAR COPPER COMPANY LIMITED",NA,NA,NA,NA,NA,"the west coast","of Nations Group, 119 acres, Golden Fleece, 238 acres, Humphrey s Gully",NA,NA,NA,NA
"141","myb399199",1910,"BRITISH AND COLONIAL ASSOCIATION LIMITED",NA,NA,NA,NA,NA,"johannesburg","buildings in Johannesburg and properties in various other parts of the Transvaal,",NA,NA,NA,NA
"142","myb399616",1910,"BUSHVELD TIN MINES LIMITED",NA,NA,NA,NA,NA,"london","12th July, 1905, was appointed settling day in shares Nos. 150 001 to 250,000,",NA,NA,NA,NA
"143","myb401091",1910,"CORONATION EXTEN I SYTJD TTRANSVAAL LTD",NA,NA,NA,NA,NA,"heidelberg","fontein No. 180, 1,383 morgen in extent, portion of Vlakfontein No. 101, known",NA,NA,NA,NA
"144","myb407076",1910,"LANGLAAGTE DEEP LIMITED",NA,NA,NA,NA,NA,"johannesburg","N. J. Scholts. | F. S. Tudhope. | J. H. Butt. A. WUrht. | J. W. H. Utubbs. Managi ,,.","schofield","n","j","board"
"145","myb407076",1910,"LANGLAAGTE DEEP LIMITED",NA,NA,NA,NA,NA,"johannesburg","N. J. Scholts. | F. S. Tudhope. | J. H. Butt. A. WUrht. | J. W. H. Utubbs. Managi ,,.","tudhope","f","s","board"
"146","myb407076",1910,"LANGLAAGTE DEEP LIMITED",NA,NA,NA,NA,NA,"johannesburg","N. J. Scholts. | F. S. Tudhope. | J. H. Butt. A. WUrht. | J. W. H. Utubbs. Managi ,,.","utter","j","w","board"
