"id","type","source","year","lastname","firstname","middlename","simpname","edu","org","loc","lon","lat","country","text","position","lname","nationality","company","freq","prof"
"aime76497","professional","taime",1884,"martin","paul",NA,"martin, p","electrical eng",NA,"paris",2.352222,48.85661,"france",NA,NA,"martin",NA,NA,78851,NA
"aime76503","professional","taime",1884,"martin","r",NA,"martin, r","mining eng",NA,"fairchance pa",-79.75449,39.8248,"united states of america",NA,NA,"martin",NA,NA,78851,NA
"aime76560","professional","taime",1884,"martine","c",NA,"martine, c",NA,NA,"georgetown colorado",-105.6975,39.7061,"united states of america",NA,NA,"martine",NA,NA,78851,NA
"aime76606","professional","taime",1884,"martyn","w","e","martyn, w e",NA,NA,"charlestown mass",-71.06021,42.37821,"united states of america",NA,NA,"martyn",NA,NA,78851,NA
"aime76631","professional","taime",1884,"marvin","s",NA,"marvin, s","mining eng","Cu","albany n y",-73.75623,42.65258,"united states of america",NA,"student","marvin",NA,NA,4574,"student"
"aime76799","professional","taime",1884,"mason","william","albert","mason, w a","mechanical eng","Mit","troy n y",-73.69178,42.72841,"united states of america",NA,"student","mason",NA,NA,48921,"student"
"aime76830","professional","taime",1884,"massiz","f",NA,"massiz, f",NA,NA,"vesuvius va",-79.19725,37.90624,"united states of america",NA,NA,"massiz",NA,NA,78851,NA
"aime76861","professional","taime",1884,"masters","w",NA,"masters, w",NA,NA,"cleveland ohio",-81.69436,41.49932,"united states of america",NA,NA,"masters",NA,NA,78851,NA
"aime76901","professional","taime",1884,"mather","s",NA,"mather, s",NA,NA,"cleveland ohio",-81.69436,41.49932,"united states of america",NA,NA,"mather",NA,NA,78851,NA
"aime76991","professional","taime",1884,"mathieu","j",NA,"mathieu, j",NA,NA,"detroit mich",-83.04575,42.33143,"united states of america",NA,NA,"mathieu",NA,NA,78851,NA
"aime77064","professional","taime",1884,"mattes","w",NA,"mattes, w",NA,NA,"scranton pa",-75.66241,41.40897,"united states of america",NA,NA,"mattes",NA,NA,78851,NA
"aime77123","professional","taime",1884,"matthiessen","frank",NA,"matthiessen, f",NA,NA,"la salle ill",-89.04183,41.36215,"united states of america",NA,NA,"matthiessen",NA,NA,78851,NA
"aime77201","professional","taime",1884,"maury","matthew",NA,"maury, m","biology",NA,"cincinnati ohio",-84.51202,39.10312,"united states of america",NA,NA,"maury",NA,NA,78851,NA
"aime77248","professional","taime",1884,"maxson","g",NA,"maxson, g",NA,NA,"auburn alabama",-85.48078,32.60986,"united states of america",NA,NA,"maxson",NA,NA,78851,NA
"aime77272","professional","taime",1884,"maxwell","james","blair","maxwell, j b","chemical",NA,"hamilton ohio",-84.56134,39.3995,"united states of america",NA,NA,"maxwell",NA,NA,78851,NA
"aime77273","professional","taime",1884,"maxwell","james","blair","maxwell, j b","chemical",NA,"syracuse n y",-76.14742,43.04812,"united states of america",NA,NA,"maxwell",NA,NA,78851,NA
"aime77423","professional","taime",1884,"maynard","g",NA,"maynard, g",NA,NA,"new york city",-74.00597,40.71278,NA,NA,NA,"maynard",NA,NA,78851,NA
"aime77459","professional","taime",1884,"mayo","j",NA,"mayo, j","electrical eng",NA,"cambridge mass",-71.10973,42.37362,"united states of america",NA,NA,"mayo",NA,NA,78851,NA
"aime77660","professional","taime",1884,"mccanpuess","e",NA,"mccanpuess, e",NA,NA,"pittsburgh pa",-79.99589,40.44062,"united states of america",NA,NA,"mccanpuess",NA,NA,78851,NA
"aime77772","professional","taime",1884,"mccatitum","w",NA,"mccatitum, w",NA,"New Glen Echo Mills","wayne junction philadelphia",-75.15988,40.0221,"united states of america",NA,NA,"mccatitum",NA,NA,2,NA
