"","id","source","year","company","capital","lastname","firstname","middlename","role","loc","text","simpname","srch","temp","geometry"
"8938","myb88074","myb",1889,"NIGEL GOLD MINING COMPANY LIMITED",NA,"bale","henry",NA,"chair","heidelberg","Henry Bale, Chairman. | Henry Fell. | Henry Griffin. | Joseph Watson Shaw. | Thonms Fleming.","bale, h",NA,"myb",c(8.6724335, 49.3987524)
"8939","myb88074","myb",1889,"NIGEL GOLD MINING COMPANY LIMITED",NA,"fell","henry",NA,"board","heidelberg","Henry Bale, Chairman. | Henry Fell. | Henry Griffin. | Joseph Watson Shaw. | Thonms Fleming.","fell, h",NA,"myb",c(8.6724335, 49.3987524)
"8940","myb88074","myb",1889,"NIGEL GOLD MINING COMPANY LIMITED",NA,"fleming","thonms",NA,"board","heidelberg","Henry Bale, Chairman. | Henry Fell. | Henry Griffin. | Joseph Watson Shaw. | Thonms Fleming.","fleming, t",NA,"myb",c(8.6724335, 49.3987524)
"8941","myb88074","myb",1889,"NIGEL GOLD MINING COMPANY LIMITED",NA,"griffin","henry",NA,"board","heidelberg","Henry Bale, Chairman. | Henry Fell. | Henry Griffin. | Joseph Watson Shaw. | Thonms Fleming.","griffin, h",NA,"myb",c(8.6724335, 49.3987524)
"8942","myb88074","myb",1889,"NIGEL GOLD MINING COMPANY LIMITED",NA,"shaw","joseph","watson","board","heidelberg","Henry Bale, Chairman. | Henry Fell. | Henry Griffin. | Joseph Watson Shaw. | Thonms Fleming.","shaw, j w",NA,"myb",c(8.6724335, 49.3987524)
"8944","myb88076","myb",1889,"NIGEL GOLD MINING COMPANY LIMITED",NA,"husken","william",NA,"board","heidelberg","F. A. Lauglilon. | William Husken, Munagiifj.","husken, w",NA,"myb",c(8.6724335, 49.3987524)
"8945","myb88076","myb",1889,"NIGEL GOLD MINING COMPANY LIMITED",NA,"lauglilon","f","a","board","heidelberg","F. A. Lauglilon. | William Husken, Munagiifj.","lauglilon, f a",NA,"myb",c(8.6724335, 49.3987524)
"8969","myb88100","myb",1889,"NIGEL GOLD MINING COMPANY LIMITED",NA,"birbeck","j",NA,"board","johannesburg","J. Birbeck. | J. Morty. I Frank Flectwood Churchill. | E. W. Noyce. | H. B. Mitchell.","birbeck, j",NA,"myb",c(28.0473051, -26.2041028)
"8970","myb88100","myb",1889,"NIGEL GOLD MINING COMPANY LIMITED",NA,"churchill","frank","flectwood","board","johannesburg","J. Birbeck. | J. Morty. I Frank Flectwood Churchill. | E. W. Noyce. | H. B. Mitchell.","churchill, f f",NA,"myb",c(28.0473051, -26.2041028)
"8971","myb88100","myb",1889,"NIGEL GOLD MINING COMPANY LIMITED",NA,"mitchell","h","b","board","johannesburg","J. Birbeck. | J. Morty. I Frank Flectwood Churchill. | E. W. Noyce. | H. B. Mitchell.","mitchell, h b",NA,"myb",c(28.0473051, -26.2041028)
"8972","myb88100","myb",1889,"NIGEL GOLD MINING COMPANY LIMITED",NA,"morty","j",NA,"board","johannesburg","J. Birbeck. | J. Morty. I Frank Flectwood Churchill. | E. W. Noyce. | H. B. Mitchell.","morty, j",NA,"myb",c(28.0473051, -26.2041028)
"8973","myb88100","myb",1889,"NIGEL GOLD MINING COMPANY LIMITED",NA,"noyce","e","w","board","johannesburg","J. Birbeck. | J. Morty. I Frank Flectwood Churchill. | E. W. Noyce. | H. B. Mitchell.","noyce, e w",NA,"myb",c(28.0473051, -26.2041028)
"9087","myb88655","myb",1889,"TION COMPANY LIMITED",NA,"chemery","victor","william","board","buchanan","Major Joseph William M. Cotton. I Victor William Chemery. I Archibald Fairlie, C E.","chemery, v w",NA,"myb",c(-95.712891, 37.09024)
