loc,lat,lon,country,n,d
Cantanhede,40.3462,-8.5941,Portugal,2,NA
Cantanhede,-3.6328,-44.3769,Brazil,2,NA
Cardenas,22.0103,-99.6522,Mexico,2,NA
Cardenas,23.0428,-81.2036,Cuba,2,NA
Carlisle,54.891,-2.944,United Kingdom,2,1
Carlisle,40.2,-77.2034,United States,2,1
Carmen,18.4167,-91.6333,Mexico,2,NA
Carmen,7.2,124.7833,Philippines,2,NA
Carmona,14.3167,121.05,Philippines,2,NA
Carmona,37.4667,-5.6333,Spain,2,NA
Carnarvon,-30.9667,22.1333,South Africa,2,NA
Carnarvon,-24.8672,113.6611,Australia,2,NA
Cartagena,10.4,-75.5,Colombia,3,NA
Cartagena,37.6,-0.9819,Spain,3,NA
Cartagena,-33.5425,-71.5958,Chile,3,NA
Cartago,4.7,-75.9167,Colombia,2,NA
Cartago,9.8667,-83.9167,Costa Rica,2,NA
Carthage,36.8528,10.3233,Tunisia,2,1
Carthage,37.1503,-94.3225,United States,2,1
Casablanca,33.5333,-7.5833,Morocco,2,NA
Casablanca,-33.3167,-71.4167,Chile,2,NA
Castro,-24.7908,-50.0119,Brazil,2,NA
Castro,-42.4667,-73.8,Chile,2,NA
Cavaillon,18.3,-73.65,Haiti,2,NA
Cavaillon,43.8375,5.0381,France,2,NA
Central,30.5593,-91.0369,United States,2,1
Central,-11.1542,-42.0814,Brazil,2,1
Ceres,37.5952,-120.962,United States,3,1
Ceres,-15.3078,-49.5978,Brazil,3,1
Ceres,-29.8667,-61.95,Argentina,3,1
Cerritos,33.8678,-118.0686,United States,2,1
Cerritos,22.4275,-100.2783,Mexico,2,1
Cerro Azul,21.2,-97.7331,Mexico,2,NA
Cerro Azul,-24.8239,-49.2608,Brazil,2,NA
Chalco,19.2647,-98.8975,Mexico,2,1
Chalco,41.1817,-96.1353,United States,2,1
Chambly,45.4311,-73.2873,Canada,2,NA
Chambly,49.1667,2.2481,France,2,NA
Changzhi,36.1953,113.097,China,2,NA
Changzhi,22.6833,120.5333,Taiwan,2,NA
Chantilly,38.8868,-77.4453,United States,2,1
Chantilly,49.1869,2.4608,France,2,1
Chaozhou,23.67,116.63,China,2,NA
Chaozhou,22.55,120.5333,Taiwan,2,NA
Chaparral,3.75,-75.5833,Colombia,2,1
Chaparral,32.0442,-106.406,United States,2,1
Chatham,42.4229,-82.1324,Canada,3,1
Chatham,51.37,0.52,United Kingdom,3,1
Chatham,39.6733,-89.6934,United States,3,1
Chaves,41.7406,-7.4714,Portugal,2,NA
