lon,lat,locn
87.8549755,22.9867569,"Raina - II, Purba Bardhaman District, West Bengal, India"
-76.29442,36.88194,"Norfolk, Virginia, United States"
-74.552034,40.890901,"Morris County, New Jersey, United States"
-3.435973,55.378051,"Dumfries and Galloway, Alba / Scotland, United Kingdom"
-1.678344,53.7931,"West Yorkshire, England, United Kingdom"
142.7027956,-20.9175738,"Richmond Shire, Queensland Australia"
-110.3626,46.87968,"Judith Basin County, Montana, United States"
-95.7127622,37.0937489,"Montgomery County, Kansas, United States"
-1.61778,54.97825,"North of Tyne, England, United Kingdom"
-94.7053,37.39616,"Crawford County, Kansas, United States"
-106.3468,56.13037,"Division No. 18, Saskatchewan, Canada"
-1.17432,52.35552,"West Northamptonshire, England, United Kingdom"
-105.7820674,28.4854458,"Aquiles Serdán, Chihuahua, México"
-85.32321,51.25377,"Cochrane District, Northeastern Ontario, Ontario, Canada"
-70.3975,-23.65093,"Provincia de Antofagasta, Región de Antofagasta, Chile"
-110.3309,29.29722,"Ures, Sonora México"
-3.783712,52.13066,"Ceredigion, Cymru / Wales, United Kingdom"
133.3993,67.55059,"Верхоянский улус, Республика Саха (Якутия), Дальневосточный федеральный округ, Россия"
8.6724335,49.3987524,"Heidelberg, Baden-Württemberg, Deutschland"
8.672434,49.39875,"Heidelberg, Baden-Württemberg, Deutschland"
-6.9447224,37.261421,"Comarca Metropolitana de Huelva, Huelva, Andalucía, España"
-2.124514,53.4288,"Greater Manchester, England, United Kingdom"
105.3188,61.52401,"Эвенкийский район, Красноярский край, Сибирский федеральный округ, Россия"
-0.087703,51.5165057,"City of London, Greater London, England, United Kingdom"
12.56738,41.87194,"Roma Capitale, Lazio, Italia"
138.252924,36.204824,"小県郡, 長野県, 中部地方, 日本"
-122.675,45.50511,"Multnomah County, Oregon, United States"
-6.944722,37.26142,"Comarca Metropolitana de Huelva, Huelva, Andalucía, España"
-3.74922,40.463667,"Comunidad de Madrid, España"
-119.4179324,36.778261,"Fresno County, California, United States"
-111.9465,40.56378,"Salt Lake County, Utah, United States"
145.9707,-41.45452,"Kentish, Tasmania, Australia"
127.9785,37.664,"홍천군, 강원특별자치도, 대한민국"
-105.6666,26.93178,"Hidalgo del Parral, Chihuahua, México"
145.9706647,-41.4545196,"Kentish, Tasmania, Australia"
27.8166667,-25.5,"Bojanala Platinum District Municipality, North West, South Africa"
-3.936903,56.11652,"Stirling, Alba / Scotland, United Kingdom"
144.5187,-17.15251,"Mareeba Shire, Queensland, Australia"
-1.1743197,52.3555177,"West Northamptonshire, England, United Kingdom"
-70.66199,42.61593,"Essex County, Massachusetts, United States"
-70.5989325,41.7412773,"Barnstable County, Massachusetts, United States"
-85.60236,44.31484,"Wexford County, Michigan, United States"
142.7028,-20.91757,"Richmond Shire, Queensland Australia"
-79.82967,35.74495,"Randolph County, North Carolina, United States"
