org,company,og_id
Dutch Colonial Finance Syndicate Limited,Dutch Colonial Finance Syndicate Limited,371
Refractory Ore Extraction Syndicate Limited,Refractory Ore Extraction Syndicate Limited,372
Rio Tinto Company,Rio Tinto Company,373
Allhallows Collieries Limited,Allhallows Collieries Limited,374
Gordon Diamond Company,Gordon Diamond Company,375
Barberton Transvaal Terms Subscription Per,Barberton Transvaal Terms Subscription Per,376
Scottish Collieries Western Australia Limited,Scottish Collieries Western Australia Limited,377
Chilian Exploration And Development Syndicate,Chilian Exploration And Development Syndicate,378
Cory Brothers And Company,Cory Brothers And Company,379
Tinsley Park Colliery Company,Tinsley Park Colliery Company,380
Yuanimi Gold Mines,Yuanimi Gold Mines,381
Whitwick Colliery Company,Whitwick Colliery Company,382
Tincroft Mining Company,Tincroft Mining Company,383
Abbeville Gold Mines Limited,Abbeville Gold Mines Limited,384
Costa Rica Mining Company,Costa Rica Mining Company,385
Ipoh Tin Dredging Limited,Ipoh Tin Dredging Limited,386
Sneyd Collectibles Limited,NA,387
Craiglyn Colliery Limited,Craiglyn Colliery Limited,388
Hlman Concessions Limited,Hlman Concessions Limited,389
Anglo Scottish Finance Corporation Limited,Anglo Scottish Finance Corporation Limited,390
Llest Collieries Limited,Llest Collieries Limited,391
Damo Nigerian Company,Damo Nigerian Company,392
Benjamin Elliott And Sons Limited,Benjamin Elliott And Sons Limited,393
Tin Areas Cornwall Limited,Tin Areas Cornwall Limited,394
Trewheela China Lay Limited,NA,395
Rayfield Cornwall Tin Syndicate Limited,Rayfield Cornwall Tin Syndicate Limited,396
Kent Freeholdhan Minerals Limited,Kent Freeholdhan Minerals Limited,397
Cwmgwyneu Collieries Limited,Cwmgwyneu Collieries Limited,398
Eastern Products Limited,Eastern Products Limited,399
Kameelfontein Diamond Development Syndicate Limited,Kameelfontein Diamond Development Syndicate Limited,400
Trevega Tin Syndicate Limited,Trevega Tin Syndicate Limited,401
Horsley Kileurn Colliery Company,Horsley Kileurn Colliery Company,402
Fort Steele Development Syndicate Limited,NA,403
Obbuassi Syndicate Limited Loosh,Obbuassi Syndicate Limited Loosh,404
Bucharest Development Syndicate Limited,Bucharest Development Syndicate Limited,405
Brunner Collieries Limited,Brunner Collieries Limited,406
Wharncliffe Silkstone Colliery Limited,Wharncliffe Silkstone Colliery Limited,407
Ore Concentration Syndicate Limited,Ore Concentration Syndicate Limited,408
Pudsey Mines And Estates Development,Pudsey Mines And Estates Development,409
San Antonio Esquilache Peru Mines,San Antonio Esquilache Peru Mines,410
Severn Valley Coal Syndicate Limited,Severn Valley Coal Syndicate Limited,411
Macdonald Copper Mine Limited,Macdonald Copper Mine Limited,412
Fiji Copper Company,Fiji Copper Company,413
Crcesus North Limited,Crcesus North Limited,414
Marble Bar Syndicate Limited,Marble Bar Syndicate Limited,415
Pembrey Collieries Limited,Pembrey Collieries Limited,416
Wallingwells Boring Company,Wallingwells Boring Company,417
Fassifern Coalj Company,Fassifern Coalj Company,418
Chaffersigold Mining Ifdi,Chaffersigold Mining Ifdi,419
Cardinal Prospecting Syndicate Limited,Cardinal Prospecting Syndicate Limited,420
Seville Collieries Limited,Seville Collieries Limited,421
West Afrtc Nvttnes Limited,West Afrtc Nvttnes Limited,422
Rayfield Syndicate Limited,Rayfield Syndicate Limited,423
Sefwi Goldfields Limited,Sefwi Goldfields Limited,424
Bloemendal Syndicate Limited,Bloemendal Syndicate Limited,425
Vizianagaram Mining Company,Vizianagaram Mining Company,426
Ashanti Goldfields Corporation Limited,Ashanti Goldfields Corporation Limited,427
Mines Acquisition Syndicate Limited,Mines Acquisition Syndicate Limited,428
Ashanti Gold Coast Acquisitions Limited,Ashanti Gold Coast Acquisitions Limited,429
Ashanti Gold Coast Acquisitions Company,NA,430
Labuan Coalfields Company,Labuan Coalfields Company,431
Labrador Syndicate Limited,Labrador Syndicate Limited,432
Victoria Rhodesia Asbestos Limited,Victoria Rhodesia Asbestos Limited,433
